Designator,Mid X,Mid Y,Rotation,Layer
C1,165.189411,-71.360589,45.0,top
C10,163.05,-82.18,270.0,top
C11,162.75,-71.1,90.0,top
C12,160.0,-68.67,90.0,top
C13,157.075,-55.35,180.0,top
C14,158.025,-60.95,180.0,top
C15,156.7,-83.93,270.0,top
C16,162.05,-84.12,90.0,top
C17,157.43,-66.45,180.0,top
C2,162.0,-67.0,90.0,top
C3,164.93,-72.8,0.0,top
C4,161.0,-67.7,90.0,top
C5,165.98,-77.35,0.0,top
C6,162.05,-82.18,270.0,top
C7,163.75,-71.27,90.0,top
C8,155.18,-72.7,180.0,top
C9,154.145,-77.45,180.0,top
J1,160.0,-49.25,180.0,top
J2,151.11,-72.25,0.0,bottom
J3,168.89,-72.25,0.0,bottom
J4,160.65,-96.14,270.0,bottom
R1,159.15,-55.55,270.0,top
R2,161.35,-55.5,270.0,top
R3,160.65,-70.59,270.0,top
R4,161.75,-70.59,270.0,top
R5,160.49,-81.45,180.0,top
R6,163.41,-62.675,180.0,top
R7,155.44,-66.45,180.0,top
SW1,163.35,-59.25,270.0,top
U1,160.0,-76.25,90.0,top
U2,158.0,-58.1375,270.0,top
U3,156.5,-68.3,0.0,top
Y1,159.4,-83.75,180.0,top
